month,geoid,tract,type
2018-08-01,36067002400,24,Larceny
2018-08-01,36067004600,46,Larceny
2018-08-01,36067000600,06,Larceny
2018-08-01,36067000800,08,Larceny
2018-08-01,36067000800,08,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067000900,09,Larceny
2018-08-01,36067003400,34,Larceny
2018-08-01,36067002300,23,Larceny
2018-08-01,36067006103,61.03,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067003500,35,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067006103,61.03,Larceny
2018-08-01,36067002101,21.01,Larceny
2018-08-01,36067004600,46,Larceny
2018-08-01,36067004302,43.02,Larceny
2018-08-01,36067000600,06,Larceny
2018-08-01,36067002300,23,Larceny
2018-08-01,36067003200,32,Larceny
2018-08-01,36067001500,15,Larceny
2018-08-01,36067005400,54,Larceny
2018-08-01,36067002300,23,Larceny
2018-08-01,36067002101,21.01,Larceny
2018-08-01,36067005200,52,Larceny
2018-08-01,36067001500,15,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067003200,32,Larceny
2018-08-01,36067003200,32,Larceny
2018-08-01,36067005700,57,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067001702,17.02,Larceny
2018-08-01,36067004302,43.02,Larceny
2018-08-01,36067004500,45,Larceny
2018-08-01,36067005500,55,Larceny
2018-08-01,36067005500,55,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067001400,14,Larceny
2018-08-01,36067002300,23,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067004400,44,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067000100,01,Larceny
2018-08-01,36067004500,45,Larceny
2018-08-01,36067005500,55,Larceny
2018-08-01,36067004500,45,Larceny
2018-08-01,36067003200,32,Larceny
2018-08-01,36067002700,27,Larceny
2018-08-01,36067000600,06,Larceny
2018-08-01,36067004400,44,Larceny
2018-08-01,36067005300,53,Larceny
2018-08-01,36067001900,19,Larceny
2018-08-01,36067004600,46,Larceny
2018-08-01,36067002300,23,Larceny
2018-08-01,36067006000,60,Larceny
2018-08-01,36067004302,43.02,Larceny
2018-08-01,36067004500,45,Larceny
2018-08-01,36067001800,18,Larceny
2018-08-01,36067000800,08,Larceny
